OrderID,ProductID,ProductCategory,ProductName,Discount(%),SalesAmount,CustomerReview,ReviewDate
100001,P0505,Sports,Yoga Mat,18.81,395.71,Okay quality,2024-11-25
100002,P0505,Sports,Yoga Mat,14.96,160.59,Waste of money,2025-04-18
100003,P0402,Books,Non-Fiction,4.14,92.92,Mediocre,2024-06-24
100004,P0501,Sports,Football,18.66,65.23,Satisfactory,2024-11-23
100005,P0504,Sports,Running Shoes,6.32,274.67,Acceptable,2024-11-13
100006,P0201,Apparel,T-Shirt,8.29,201.9,Works perfectly,2025-03-12
100007,P0201,Apparel,T-Shirt,23.05,212.38,Waste of money,2025-05-23
100008,P0105,Electronics,Camera,22.64,214.45,Exceeded expectations,2024-10-01
100009,P0604,Beauty,Moisturizer,20.96,375.44,Neutral feeling,2024-09-19
100010,P0303,Home & Kitchen,Coffee Maker,17.6,56.69,Great value,2024-10-22
100011,P0103,Electronics,Headphones,7.88,84.36,Nothing special,2024-08-04
100012,P0303,Home & Kitchen,Coffee Maker,26.64,89.49,Decent,2024-07-05
100013,P0601,Beauty,Lipstick,15.76,64.38,Nothing special,2025-04-30
100014,P0201,Apparel,T-Shirt,3.94,311.16,Loved it,2024-09-23
100015,P0403,Books,Science,4.75,330.28,Disappointed,2025-03-09
100016,P0402,Books,Non-Fiction,7.24,402.57,It's fine,2025-03-12
100017,P0301,Home & Kitchen,Blender,21.85,154.75,Cheaply made,2025-04-04
100018,P0204,Apparel,Jacket,13.86,328.17,Mediocre,2024-09-27
100019,P0204,Apparel,Jacket,13.22,55.28,Neutral feeling,2025-04-19
100020,P0401,Books,Fiction,10.58,316.73,Works perfectly,2025-01-26
100021,P0603,Beauty,Eyeliner,19.15,182.54,Poor quality,2024-11-21
100022,P0504,Sports,Running Shoes,23.77,94.38,Decent,2024-11-21
100023,P0405,Books,Mystery,15.12,47.52,Acceptable,2024-12-20
100024,P0205,Apparel,Hat,3.77,53.64,Very satisfied,2025-04-14
100025,P0401,Books,Fiction,9.77,343.33,Decent,2024-10-26
100026,P0101,Electronics,Smartphone,23.46,16.41,Exceeded expectations,2024-06-13
100027,P0502,Sports,Basketball,29.18,47.65,Disappointed,2024-09-20
100028,P0604,Beauty,Moisturizer,6.1,303.57,Fantastic,2024-09-03
100029,P0401,Books,Fiction,6.23,93.65,Fantastic,2025-03-10
100030,P0105,Electronics,Camera,5.97,297.36,Exceeded expectations,2025-01-20
100031,P0303,Home & Kitchen,Coffee Maker,26.21,103.23,Neutral feeling,2024-06-21
100032,P0304,Home & Kitchen,Vacuum Cleaner,28.42,162.78,Waste of money,2025-01-12
100033,P0203,Apparel,Sneakers,8.48,205.56,Mediocre,2025-01-29
100034,P0104,Electronics,Smartwatch,9.35,190.31,Works perfectly,2024-09-30
100035,P0405,Books,Mystery,23.12,288.6,Great value,2024-11-13
100036,P0604,Beauty,Moisturizer,3.62,232.73,Decent,2025-02-16
100037,P0202,Apparel,Jeans,13.58,44.81,Neither good nor bad,2024-07-04
100038,P0605,Beauty,Perfume,25.7,313.12,Great value,2024-06-26
100039,P0504,Sports,Running Shoes,15.53,327.75,Satisfactory,2024-12-23
100040,P0102,Electronics,Laptop,15.01,40.44,Disappointed,2025-05-11
100041,P0402,Books,Non-Fiction,9.48,414.65,Decent,2025-05-02
100042,P0103,Electronics,Headphones,13.03,40.64,Works perfectly,2024-11-01
100043,P0202,Apparel,Jeans,21.28,299.46,Satisfactory,2025-04-12
100044,P0202,Apparel,Jeans,9.51,66.93,Cheaply made,2024-10-16
100045,P0303,Home & Kitchen,Coffee Maker,6.89,316.11,Nothing special,2024-08-30
100046,P0503,Sports,Tennis Racket,0.84,444.58,Stopped working,2024-07-01
100047,P0602,Beauty,Foundation,1.75,137.58,Best purchase,2025-05-16
100048,P0105,Electronics,Camera,4.7,365.32,Highly recommend,2025-05-18
100049,P0405,Books,Mystery,11.92,189.61,Defective,2025-01-08
100050,P0502,Sports,Basketball,0.78,482.25,Best purchase,2025-05-15
100051,P0603,Beauty,Eyeliner,1.51,303.95,Defective,2025-02-07
100052,P0301,Home & Kitchen,Blender,6.39,200.12,Cheaply made,2025-04-04
100053,P0305,Home & Kitchen,Toaster,3.37,358.52,Best purchase,2024-09-16
100054,P0604,Beauty,Moisturizer,14.84,265.02,Not worth the price,2024-06-25
100055,P0503,Sports,Tennis Racket,24.39,32.86,Fantastic,2025-02-18
100056,P0603,Beauty,Eyeliner,29.76,264.92,Fantastic,2025-04-12
100057,P0301,Home & Kitchen,Blender,27.2,100.87,Works perfectly,2025-04-06
100058,P0503,Sports,Tennis Racket,22.61,139.32,Waste of money,2024-06-01
100059,P0203,Apparel,Sneakers,1.64,433.52,Exceeded expectations,2024-10-05
100060,P0302,Home & Kitchen,Microwave,16.46,298.1,Waste of money,2024-11-26
100061,P0402,Books,Non-Fiction,4.18,462.88,Good product,2025-04-12
100062,P0102,Electronics,Laptop,27.28,127.11,Excellent quality,2024-08-18
100063,P0602,Beauty,Foundation,26.58,73.77,Good product,2024-07-24
100064,P0303,Home & Kitchen,Coffee Maker,20.32,230.55,Good product,2024-12-26
100065,P0601,Beauty,Lipstick,7.42,15.32,Decent,2024-12-13
100066,P0203,Apparel,Sneakers,7.54,203.13,Disappointed,2025-02-02
100067,P0205,Apparel,Hat,11.25,298.92,Satisfactory,2024-06-29
100068,P0104,Electronics,Smartwatch,9.58,44.7,Great value,2024-07-09
100069,P0404,Books,Biography,5.43,359.21,Neutral feeling,2025-03-23
